문장,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타혐오,악플/욕설,clean,source
왜 꼭 성소수자에 대해선 그리 잘하면서 기독교 내에 도박 성추행 마약 불법점유 기독교도 깨끗한거 1도 없지 기부금 내역좀 보자고 돈 앞에선.. 머 하나님도 까불면 죽을수 잇으니 조심해야겟지만 ㅋ,0,0,0,0,0,0,1,0,0,0,unsmile_train
해머는 좀 빼지ㄷㄷㄷㄷㄷㄷ게이가 위험헐까봐 그러는거임1ㅂ,0,0,0,0,0,0,0,0,0,1,unsmile_train
씨발 이게일베가면 일베접는다,0,0,0,0,0,0,0,0,1,0,unsmile_train
외국가면 ㄹㅇ 존나 짜서 놀란다,0,0,0,0,0,0,0,0,0,1,unsmile_train
일게이급인데도 가능하네 로또 ㄷㄷ,0,0,0,0,0,0,0,0,0,1,unsmile_train
역겹다 이기야,0,0,0,0,0,0,0,0,1,0,unsmile_train
그나마도 진짜 난민도 아니라며,0,0,0,1,0,0,0,0,0,0,unsmile_train
맛이 가버린 페미년들,1,0,0,0,0,0,0,0,0,0,unsmile_train
644 엌ㅋㅋㅋㅋㅋ 정답이노 그 새끼 봊나 아닌척 해도 여태껏 한남으로 살면서 온갖 여혐했을텐데 선비인척 부랄떠는게 가관이었놐ㅋㅋㅋㅋ,0,1,0,0,0,0,0,0,0,0,unsmile_train
솔까 김치녀보다 훨낫게따 국방의의무를 저렇게까지 하는거보믄 개념풀옵아니겠노,1,0,0,0,0,0,0,0,0,0,unsmile_train
"마약, 총기, 동성애 해외 사례를 보면 절대 한국에 들어와서는 안되는 3대 위험한 문화지요.",0,0,1,0,0,0,0,0,0,0,unsmile_train
한국 여성부 응원하는 여성새1끼들은 이래서 욕쳐먹는건데 지들은 몰라 정신벙자새1끼들 에라이 여혐새1끼들아 나중에 자식을 남성으로 낳아서 왜? 아주 남혐 남혐외쳐대지? 니들이 잘하는거 있잖아 창련들아 니 자식한테도 성불평등 외쳐대면서 지껄여보지? 정신벙자새1끼들,1,0,0,0,0,0,0,0,0,0,unsmile_train
일베 하는 급식이 제일 혐오스러워서 밍듀아,0,0,0,0,1,0,0,0,0,0,unsmile_train
무슬림이 우리나라엔 안 들어오길 빈다.. 세계인과 섞일 수 없는 유일한 종자이지 싶다.,0,0,0,1,0,0,1,0,0,0,unsmile_train
개독이 과장한 부분이 있는거 같긴해도 레알인 부분도 반 이상은 되는듯,0,0,0,0,0,0,1,0,0,0,unsmile_train
아 그냥 내가 나를 여자! 라고 하면 여자가 되는 거임? 수술 안 해도 여자다~ 하면 여자 되는 거냐고 ㅋㅋ 여성복 입었는데 편해서 여자? 난 바지만 입는데 그럼 남자임?,0,0,1,0,0,0,0,0,0,0,unsmile_train
홍어들한테 한번 식겁당해봐야 알지근데 딴 홍어는 또 좋아보여서 친해졌다가 또 통수맞고그러다보면 홍어라면 학을 띈다,0,0,0,0,0,1,0,0,0,0,unsmile_train
역시 7시 외국새끼들,0,0,0,0,0,1,0,0,0,0,unsmile_train
아~~~ 여자니까 군머 안가서 노무 행복하다^0^ 한남충들 군머에서 2년 시간 버릴동안 스타벅스가서 커피 마시고 호텔가서 양쇼타남이나 데리고 놀아야겠노^^,0,1,0,0,0,0,0,0,0,0,unsmile_train
"국민의 3대의무인 납세의 의무를 거부하고, 여호와의 증인은 국방의의무를 거부한다. 이것들은 국민이 아니다.왜 우리가 내는 세금의 경찰이나 119의 보호 서비스를 받을 자격이 있는가?",0,0,0,0,0,0,1,0,0,0,unsmile_train
진짜 전라도 신물이 난다 ㅅㅂ,0,0,0,0,0,1,0,0,0,0,unsmile_train
쇼펜하우어형님 ㅆㅅㅌㅊ,0,0,0,0,0,0,0,0,0,1,unsmile_train
이 새끼 좇 되게 해주세요...!!!!!!!,0,0,0,0,0,0,0,0,1,0,unsmile_train
앵나 공감이노. 난 이게 바로 코르셋이라 생각한다 화장 옷 그 자체가 아닌 남 시선 때문에 하고싶어도 못 하는거,0,0,0,0,0,0,0,0,0,1,unsmile_train
이윤택닮았다,0,0,0,0,0,0,0,0,0,1,unsmile_train
나라가 점점 이상해진다 ..,0,0,0,0,0,0,0,0,0,1,unsmile_train
이거글쓴놈관잦이노소추눌러라이기,0,1,0,0,0,0,0,0,0,0,unsmile_train
두번째 사진 노무현 꼴리노ㅋㅋㅋ 손 제스처보고 흑좆나 웃었다 이니야 착한 자집애는 재기한 자집애들밖에 없노,0,1,0,0,0,0,0,0,0,0,unsmile_train
허세쩌는건 인정함ㅋ 근데 내가 그런새끼들만 우선조짐,0,0,0,0,0,0,0,0,1,0,unsmile_train
꼴에 목사한다 ㅉ,0,0,0,0,0,0,1,0,0,0,unsmile_train
교회 다니는것들 다 죽여야된다 지ㅡ들 말이 옮코 다르면 아주 난리남 예수라는게 있어서 이런병 이 생긴다고 개질ㆍㄴㆍ 할거임,0,0,0,0,0,0,1,0,0,0,unsmile_train
한남충이 울면 집안이 망한다더니 딱 그 꼴이노,0,1,0,0,0,0,0,0,0,0,unsmile_train
ㅋㅋ31처럼 제육볶음같은 상황도 발생하고 예를들어 중국집가서 요리하나 나눠먹을때도 그렇다 웜련들은 비교적 좋은환경에서 지내는것 같아 다행이노ㅋㅋ,0,0,0,0,0,0,0,0,0,1,unsmile_train
이슬람도 싫지만 중국은 더 싫다.,0,0,0,1,0,0,1,0,0,0,unsmile_train
급식충 솔직히 환영한다근데 좆고딩만,0,0,0,0,1,0,0,0,0,0,unsmile_train
24렙 틀딱 인생이 더 헬 아니냐?,0,0,0,0,1,0,0,0,0,0,unsmile_train
유튜브에서 닭만팔면 돈이 우수수 떨어지니까좆튜버들때문에 영감탱이들 정신못차림박근혜를 박정희랑 동일시함 ㅋㅋ,0,0,0,0,1,0,0,1,0,0,unsmile_train
페미니즘하고 한식 뷔페미즘은 다른거지ㅋㅋ,1,0,0,0,0,0,0,0,0,0,unsmile_train
근데 저정도는 뭐 길 막는것도 아니고 사람도 많이 없는거같은데겨울에 추운데 저정도는 하게냅둬라그냥,0,0,0,0,0,0,0,0,0,1,unsmile_train
전라도는 예로부터 우리 조상인 북방민족이 덜 밀어낸 땅에 살면서 식민통치 받았던 애들임. 유전자가 흐름다 유전자가,0,0,0,0,0,1,0,0,0,0,unsmile_train
청와대+법무부+민주당... 호남조폭파,0,0,0,0,0,1,0,0,0,0,unsmile_train
몸매부각하는 옷부터 조패고싶노 배우한테 저게 무슨짓이노,0,0,0,0,0,0,0,0,1,0,unsmile_train
여긴 지옥인건가?더러워,0,0,0,0,0,0,0,0,1,0,unsmile_train
일단 노무현 존나 질림 12년째 지랄하는건데 소스도 다끝난지가 몇년 지남그리고 씹 노인새끼들이 노무현 빨아줄생각도 없어보임그냥 뉴페이스 최태민 빨면 되는거임,0,0,0,0,1,0,0,0,0,0,unsmile_train
아무 한남이나잡고 아가리찢고싶다진심,0,1,0,0,0,0,0,0,0,0,unsmile_train
술값 통수. 볼긋도 읍써. 그짝이지.,0,0,0,0,0,1,0,0,0,0,unsmile_train
불곰국 물리치료사 성님들 모셔오고싶노!!!,0,0,1,0,0,0,0,0,0,0,unsmile_train
글쎄 나는 동성애 나쁘게 생각 안함특히 인구증가율이 높은 인도나 아프리카에 널리 퍼져야된다고 생각함인구가 너무 많다,0,0,1,1,0,0,0,0,0,0,unsmile_train
아 ㅅㅂ 나 시골인데 한물간 개바지는 이제 됐으니까 대학나오고 이쁜 걸로 건드리자고 뭐 ?? 한물간 개바지만 건드리라고 티비야 !? 그러나 좃돼면 티비 니가 내인생 책임져 줄꺼야 ??,0,0,0,0,0,0,0,0,1,0,unsmile_train
멋글 개빻았노 여혐충들 이때다싶어 우루루 몰려드노,0,0,0,0,0,0,0,0,1,0,unsmile_train
각자의정의가있는거지 진씨아저씨는 왜 자기만맞대? 이씨아저씨말도 맞는데? 2030이 무제한포퓰리즘에 6.7인줄아나? ㅋ,0,0,0,0,0,0,0,0,1,0,unsmile_train
덴마크 병신새끼들 자업자득이지 뭐누가 이민자 쓰레기들 받으래??? 븅신들 당해도 싸다,0,0,0,1,0,0,0,0,0,0,unsmile_train
틀딱+빨깽이=문재앙,0,0,0,0,1,0,0,1,0,0,unsmile_train
기갈미 앵나 빙신 ㅎㅌㅊ 같노,0,0,0,0,0,0,0,0,1,0,unsmile_train
뭐냐 저 애미디진 법은?? 외노자랑 유학생들에게 왜 복지를 해줘야되냐?? 가뜩이나 얘네들 의료보험 우리랑 똑같이혜택 까지 받고있는데 그걸로 충분하지않냐?? 남의집 생활이 그리 편해야하냐 시발거,0,0,0,1,0,0,0,0,0,0,unsmile_train
그린벨트 ㅆㅅㅌㅊ,0,0,0,0,0,0,0,0,0,1,unsmile_train
똥꼬충들 똥꼬로 안하고 다른구멍으로 하면 안되나? 남자건 여자건 후장섹스는 비정상적인거 같음 똥나오는 구멍으로 왜 ..,0,0,1,0,0,0,0,0,0,0,unsmile_train
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ홍어 새끼들 호다닥 뛰어왔다가 긴급 대피중,0,0,0,0,0,1,0,0,0,0,unsmile_train
인권 찾는 사람들은 죄다 성씨가 두개네,0,0,0,0,0,0,0,0,1,0,unsmile_train
여가부 폐지가 답 좌파는 감옥이 답 거지는 밟고 또 밟고 또 밟아야만 반응하지,1,0,0,0,0,0,0,1,0,0,unsmile_train
아 내가 저 무궁화고속관광에서 일햇엇다 질문받는다,0,0,0,0,0,0,0,0,0,1,unsmile_train
후팔 워마드 이렇게 힘들게 운영되어왔노 그럼에도 불구하고 일년넘게 굴러가고있음에 노무딱다리 감사하노,0,0,0,0,0,0,0,0,0,1,unsmile_train
이거 마지막에 리코더불때 존나 빵터졌었음ㅋㅋㅋ존나 노어이 개뜬금포라 군대에서 보는데 생활관 다터짐ㅋㅋㅋ,0,0,0,0,0,0,0,0,0,1,unsmile_train
ㅁㅊ...,0,0,0,0,0,0,0,0,1,0,unsmile_train
그럼 여자 캐릭터 다없어져야함~ 무거운거 남자가 들어도 차별이고 여자가 무거운거 들고있으면 연약한여자 드립치고 요리 여자가해도 차별이면 모든 어린이 만화에 여자 다없애면끝,0,0,0,0,0,0,0,0,0,1,unsmile_train
셔터맨 되고싶은 놈들 넘쳐날듯,0,0,0,0,0,0,0,0,0,1,unsmile_train
페미니즘이 21세기 빨갱이 맞았네 어쩐지 냄세난다 했더니,1,0,0,0,0,0,0,0,0,0,unsmile_train
도끼 저새낀 걍 면상이 똥송 그자체던데 스페인 쿼터로도 안보이던데 걍 전형적인 한국인 똥송면상아님?,0,0,0,1,0,0,0,0,0,0,unsmile_train
김어준 뉴스공장보기가 없네,0,0,0,0,0,0,0,0,0,1,unsmile_train
부처님은 자비롭구려,0,0,0,0,0,0,0,0,0,1,unsmile_train
뒤진 틀딱은 둘째치고 손나간 저새끼도 이제 빨간줄 아님? 애미애비 금수저 아니면 인생 좆됐노.,0,0,0,0,1,0,0,0,0,0,unsmile_train
문제가 많을 겁니다,0,0,0,0,0,0,0,0,0,1,unsmile_train
난 가세연 좋음 틀딱들만 보니까 ㅎㅎ,0,0,0,0,1,0,0,0,0,0,unsmile_train
20대 76퍼랑 30대66퍼면 진짜 남자들은 멀었다  남잔데 페미에 긍정적이다? 사람이냐? 이름 돌쇠로바꿔서 머슴이나해라ㅋㅋ,1,0,0,0,0,0,0,0,0,0,unsmile_train
잃어버린 10년동안 전의경으로 복무한 이들도 상당하다고 본다,0,0,0,0,0,0,0,0,0,1,unsmile_train
그런데 필리핀에간 한국인 보호는 커녕 니돈아니니깐 퍼주기만 하자고 한건 머냐??? 대한민국 국민의 피땀어린 세금이 니눈엔 멀로 보이냐??,0,0,0,0,0,0,0,0,1,0,unsmile_train
틀린소리는 아닌데 왜 이상하지?,0,0,0,0,0,0,0,0,0,1,unsmile_train
낭낭충들 라면이나쳐먹지...,0,0,0,0,0,0,0,0,1,0,unsmile_train
나이 40 처먹고 애니짤이나 달고 다니는 새끼들이 제정신이겟냐?싹 다 전라도로 모아서 처 죽여야 됨,0,0,0,0,1,1,0,0,0,0,unsmile_train
쌍도남은 아무도 안좋아해,0,0,0,0,0,1,0,0,0,0,unsmile_train
왜이렇게 법이 솜방망이가 됬지.. 똑같은처벌을 원한다는건 아니지만 최소한 납득할 수준은 되야 하는거 아닌가... 어쩌다 이리 현실과 괴리가 생겨버린건지.. 고인물이 되서 그런가..,0,0,0,0,0,0,0,0,1,0,unsmile_train
팩트는 그런년들 먹을려고 하는거임 연애목적이아니다,1,0,0,0,0,0,0,0,0,0,unsmile_train
쉬멜 보지랑 자지 둘다 있다길래 유전자 잘못된 채로 태어난 줄 알았는데 그냥 젠신병자였노ㅋㅋㅋ,0,0,1,0,0,0,0,1,0,0,unsmile_train
박사피셜 : 상폐는 25세부터,0,0,0,0,1,0,0,0,0,0,unsmile_train
"저런질떨어지는 바퀴벌레보다 못한 사람이 어떻게3급 공무원이지? 행정고시 패스한사람도5급인데, 문제가 많다. 저사람 범죄를 덮었기때문에 아주 큰 죄고, 직무유기다. 구속후 감빵행이답이다. 퇴직금 못받게 강제퇴직처리해야 한다.",0,0,0,0,0,0,0,0,1,0,unsmile_train
젠더 이슈 없다면서 20대 여성 세명 앉혀놓고 주변에 그런 20대 남성 없다고 하네; 투표 조작이라도 했다는건가 결과가 있는데,0,0,0,0,0,0,0,0,0,1,unsmile_train
잘했어씨발 개독예수쟁이들은 다 처맞아야해아물논 정상적으로 기도하시는 분들 예외,0,0,0,0,0,0,1,0,0,0,unsmile_train
로리 페도 똥꼬충 꼴페미들은 잡아다가 광화문 광장에서 화형 시키거나 가스실에 넣고 섬멸해야 한다,1,0,1,0,0,0,0,0,0,0,unsmile_train
동성애 처벌 수준은 아니고....하든 말든......축제를 할 이유는 없지 않나.....,0,0,1,0,0,0,0,0,0,0,unsmile_train
"내가 겪은 3대 무개념충급식충, 흡연충, 맘충다 조져야됨",1,0,0,0,1,0,0,1,0,0,unsmile_train
자꾸 블라인드 되노,0,0,0,0,0,0,0,0,0,1,unsmile_train
참 진짜 별 걸레 같은 기사 다보겠네... ㅡ ㅡ 주민등록증과 실제 외모가 성별이 다르게 느껴지면 당연히 본인확인 해야 되는게 정상 아닌가요?,0,0,0,0,0,0,0,0,1,0,unsmile_train
정의당 장혜영 의원은 벌써 법안 발의 했던데. 그때 10인 동료의원 모으느라 고생했다던데 왜 같이 안했대요? 내용을 좀 다르게 하려고?,0,0,0,0,0,0,0,0,0,1,unsmile_train
키웠더니 아버지를 멀리...,0,0,0,0,0,0,0,0,0,1,unsmile_train
본잍 안 간다고 편하게 말하네,0,0,0,0,0,0,0,0,1,0,unsmile_train
기수한테 메읶으업 배운거같노,0,0,1,0,0,0,0,0,0,0,unsmile_train
니들끼리 후장에 쑤시던가 신경안쓸데니대신 에이즈걸리면 그대로 뒤지렴괜한 의료보험 돈 빼먹지말고안그래도 검머외들이 의료보험 빼먹어서빡치는데 게이들까지 설치면 죽여야지뭐,0,0,1,0,0,0,0,0,0,0,unsmile_train
진정한 트젠이라면 짭보지 수술도 싸게싸게 받았으면 좋겠노^^ 그러다가 재기형냐랑 눈맞아서 한강가면 을매나 좋겠노,0,0,1,0,0,0,0,0,0,0,unsmile_train
왜 간첩임? 저거 결말이 뭐냐,0,0,0,0,0,0,0,0,0,1,unsmile_train
칭 챙 총,0,0,0,1,0,0,0,0,0,0,unsmile_train
아가야...다음생엔 더 좋은곳에서 사랑 많이 받아라,0,0,0,0,0,0,0,0,0,1,unsmile_train
웜도 수준이 맞아야 하는거노. 개돼지내 못벗은 ㅎㅌㅊ 들은 느그 급 맞는 데 가서 놀아라 이기야,0,0,0,0,0,0,0,0,1,0,unsmile_train
본인들 거시기가 소시지만한가 보지... 안그러면 소시지 잡는 손모양에 저리 발작할리가,0,1,0,0,0,0,0,0,0,0,unsmile_train
"노인보다 586, x세대 틀딱들이 좆같음",0,0,0,0,1,0,0,0,0,0,unsmile_train
뿔테쫌 끼지마라,0,0,0,0,0,0,0,0,1,0,unsmile_train
오늘도 조선족 바퀴벌레들은 열심히 댓글알바 하고 있구나,0,0,0,1,0,0,0,0,0,0,unsmile_train
역시 지들보다 약한 유아 폭행하는건 한녀가 세계 1등이지~ 이래놓고선 피해자인척 하는 꼴 역겹~,1,0,0,0,0,0,0,0,0,0,unsmile_train
다시 가긴 싫지만 솔직히 군머처럼 강압적으로 후장 따먹힐 만한데가 잘 없으니 그건 좀 그립긴 함,0,0,0,0,0,0,0,0,1,0,unsmile_train
그저께는 진화론이 공산주의 사상이라고 지랄하는 병신 개독새끼도 있더만,0,0,0,0,0,0,1,0,0,0,unsmile_train
저새끼는 주적이 누군지도모르는데 저기 왜감?,0,0,0,0,0,0,0,0,1,0,unsmile_train
아...정말...필리핀에서 계속 한국인 죽어나가는데...가만 내비두냐? 대만처럼 필리핀 갈궈야 하는거 아니냐!!!,0,0,0,1,0,0,0,0,0,0,unsmile_train
카바디카바디카바디카바디카바디카바디카바디카바디,0,0,0,0,0,0,0,0,0,1,unsmile_train
"여성도 보급, 행정, 의료 등 비전투군인으로 얼마든지 국가에 기여할 수 있다",0,0,0,0,0,0,0,0,0,1,unsmile_train
80년생 피싸개들이 지금 욕처먹고 있는 맘충들임 ㅋㅋ 과학이네,1,0,0,0,0,0,0,0,0,0,unsmile_train
엔드레스 쓰리,0,0,0,0,0,0,0,0,0,1,unsmile_train
그 때 까지 돈 많이 모아놓고 있겠노.,0,0,0,0,0,0,0,0,0,1,unsmile_train
파키스탄여자보고 파키스탄이 한국보다 여성인권 높다고 헛소리 하면 쳐 맞을듯,1,0,0,0,0,0,0,0,0,0,unsmile_train
반일이고 친일이고 별 생각은 없는데 저걸보고 욱일기가 생각난다는 발상이나 그걸 보고 자라는 애기한테 안좋은 영향이 간다는 생각은 정말 신기함,0,0,0,0,0,0,0,0,0,1,unsmile_train
아니 머가리는 우동사리보관통이노? 북한 여자들이 기쎄기는 무슨 기도 안쎄거고 기쎄도 뭐가 달라지노 그리고 기차타고 유우럽 여행가면 허리 뽀개지겠노 뭐하러 좋은 비행기두고 기차타고 가노 어이가 흑좆나 없다이기야,0,0,0,0,0,0,0,0,1,0,unsmile_train
병신아 우리도 징병 안했으면 존나 도망쳤을걸 다똑같음 근데 난민 받아주는건 병신짓 맞음,0,0,0,1,0,0,0,0,0,0,unsmile_train
김치년 참살 할 유일한 영웅 난민 환영합니다,1,0,0,0,0,0,0,0,0,0,unsmile_train
와꾸는 무조건 거른다 눈갱각이다익이,0,0,0,0,0,0,0,0,1,0,unsmile_train
지금부터 일루미나티 사탄 숭배하면 나도 성공할 수 있는거냐??,0,0,0,0,0,0,0,0,0,1,unsmile_train
좆같이 못생긴 호모새끼들 지들끼리 물고빨고 하지 더러운 에이즈보균자새끼들이,0,0,1,0,0,0,0,0,0,0,unsmile_train
"이런..., 이놈에 교회들 이럴줄 알앗다...  저놈에 교회 교인들.., 신천지 보다 더 많은데... 주변은 대단위 아파트 단지들이고...",0,0,0,0,0,0,1,0,0,0,unsmile_train
한방사의 목적은 저렇게 검체 채취 봉사 활동한 후 현대의학 검사에 대한 권리를 주장하려고 하는거임.남의 불행에 자기 이익을 취하려는 의도가 있어 기분이 나쁨.,0,0,0,0,0,0,0,0,1,0,unsmile_train
종교 정말 없어져야 한다!!!,0,0,0,0,0,0,1,0,0,0,unsmile_train
남패미는 근본이 없는것이 특징이지,0,1,0,0,0,0,0,0,0,0,unsmile_train
어우 심했노,0,0,0,0,0,0,0,0,0,1,unsmile_train
그녀? 더럽다. 좀 기사 올리지마라. 국민들 관심없다.,0,0,0,0,0,0,0,0,1,0,unsmile_train
어떻게 생각하냐구요? 페미는 정신병이요,1,0,0,0,0,0,0,0,0,0,unsmile_train
김치좆놈들 ㅆㅎㅌㅊ 똥꼬충적 여혐하는게 노무딱 웃김 진짜 자지는 다 미개하고 열등하지만 국산남이 그중 열등하기는 제일이노 풉,0,1,1,0,0,0,0,0,0,0,unsmile_train
포미닛 공연중이였음,0,0,0,0,0,0,0,0,0,1,unsmile_train
북유럽 갬성이라면 죽고못사는 한녀들 수준,1,0,0,0,0,0,0,0,0,0,unsmile_train
코르셋 터졌노,0,0,0,0,0,0,0,0,0,1,unsmile_train
진짜 재 얼굴만 봐도 몸이 부르르 떨릴만큼 혐오스럽다,0,0,0,0,0,0,0,0,1,0,unsmile_train
여자 지워서 젠신병자 챙기노,0,0,1,0,0,0,0,1,0,0,unsmile_train
보는내내.피가거꾸로솟았다..어떻게이런인간이 있단말인가..TV보면서 손이부르르 머리채를잡아 쥐어뜯고싶었음.,0,0,0,0,0,0,0,0,1,0,unsmile_train
아래 글에 짤 첨부하는 방법 있노,0,0,0,0,0,0,0,0,0,1,unsmile_train
개독은 거르자 제발 목사 신도 집사 근처도 안갈겁니다,0,0,0,0,0,0,1,0,0,0,unsmile_train
"제발 경북대구 vs 전남광주 만 싸워라!! 강원도,서울,경기도는 관심도 없다.",0,0,0,0,0,1,0,0,0,0,unsmile_train
"마지막 때가 되니 사람들이 갈수록 물질적인것 , 육신적인것에 집착하는듯 너희도 하루빨리 구원받아놔라",0,0,0,0,0,0,0,0,0,1,unsmile_train
"이름,외모보면 분명 조선족 억양을 보였을텐데:;., 여기서도 일베띵언 믿거조다이기 조로 시작하믄 안돼 무조건",0,0,0,1,0,0,0,0,0,0,unsmile_train
에이..나라자체가 종교집단이드만..모택동교,0,0,0,1,0,0,0,0,0,0,unsmile_train
저건 거의 여자들 성욕채우는 방송이네 방통위 찔러라 선정성으로,1,0,0,0,0,0,0,0,0,0,unsmile_train
시발 짱깨새끼들 한국 게임서버들와서 해킹하는게 좆같음 애미종범범영주영 뻐킹 차이나,0,0,0,1,0,0,0,0,0,0,unsmile_train
똥꼬충도 싫지만 가위치기메갈년들도 싫다.,1,0,1,0,0,0,0,0,0,0,unsmile_train
천오백원입니다.(2천원 꺼내며) 자 여기 2천만원ㅎㅎ 네 여기 거스름돈 오백원 ㅎ여 2천만원줬는데 왜 오백원 거슬러줘천구백구십구만팔천오백원 줘야지네씨발 틀딱새끼 2천만원어치 갱값만큼만 맞자 일루와퍼퍽 퍼퍽틀딱 뒤짐 자연사처리 펀돌이게이 이달의 우수사원등극,0,0,0,0,1,0,0,0,0,0,unsmile_train
통베에서 탈북자 반대하는 새끼들 좌빨홍어 의심해봐야함,0,0,0,0,0,1,0,1,0,0,unsmile_train
쟤들은 코가 못 생겨서 안 돼,0,0,0,0,0,0,0,0,1,0,unsmile_train
북괴들이랑 좆족 똥남아로도 벅차는데 쟤들까지 받으면ㄹㅇ헬센 확정아니냐?지 나라 아니라고 함부로 지랄하는 개슬람새끼들은추방이 답.,0,0,0,0,0,0,1,0,0,0,unsmile_train
자적자할때는 꿀잼이겠노 ㅋㅋㅋㅋ 저새끼들 왠지 유튜브에도 상주할거같노 ㅋㅋㅋ,0,1,0,0,0,0,0,0,0,0,unsmile_train
닭뽕틀딱만하겟니,0,0,0,0,1,0,0,0,0,0,unsmile_train
10. 남자들과 똑같이 노력하면 ‘여자답지 않기’ 때문에 ‘열등’하고,1,0,0,0,0,0,0,0,0,0,unsmile_train
오 축구선수 전적말벅지에 그만...,0,0,0,0,0,0,0,0,1,0,unsmile_train
그래도 개슬람국가엔 종교에미친 개또라이들이 넘처나서 저새끼들 상대로 언제 테러일어날지 모른다,0,0,0,0,0,0,1,0,0,0,unsmile_train
뭐 진짜일수도있고 프락치일수도 있고,0,0,0,0,0,0,0,0,0,1,unsmile_train
갓 중학교 올라간 급식이나 현 고딩인 급식충들이 저걸 알긴알지...?,0,0,0,0,1,0,0,0,0,0,unsmile_train
존나 웃긴게 이슬람이 좋으면 중동으로 가면되지그건싫고 유럽에 빌붙어사는 좆난민 이슬람 새끼들 다 죽여야됨,0,0,0,1,0,0,1,0,0,0,unsmile_train
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅇㅈ,0,0,0,0,0,0,0,0,0,1,unsmile_train
벌써 기사떴노 ㅋㅋ 잔인하게 학대한 사진!! 이라고 올렸는데 하품하면 나오는 눈물 수준이라 모자이크 한거노 웃챙 ㅋㅋㅋㅋㅋㅋ,0,0,0,0,0,0,0,0,0,1,unsmile_train
내 죄악을 남이 모르면 그건 죄가 아니야 내가 순결하다고 하면 난 순결해 꿀꿀 뀍뀍!!(코피노 애비) 나..난 강제아다가 아니야! 이제까진 관심이 없었을뿐이야! (백수/ 앱충앰충 골수 빨때 쪽쪽/ 키보드 워리어/ 벌금 경력있음/ 집에 돈도없는 새끼라 쪽빨할것도 없음),0,0,0,1,0,0,0,1,0,0,unsmile_train
웃기지마라. 나도 남잔데 페미니즘 공부해봤다. 학문중에서도 저급에 속하더라. 여성주의 사상 가치도 없음,1,0,0,0,0,0,0,0,0,0,unsmile_train
가족회사 비상장사 교회 주식회사 영업이익 최고 수익 무자본 최고 아이템 돈벌고 싶으면 창업하세요 교회지점 내세요,0,0,0,0,0,0,1,0,0,0,unsmile_train
이게 완전 허구가 아니고 실제랑 비슷하다는 게 존나 소름이다,0,0,0,0,0,0,0,0,0,1,unsmile_train
일단 여성가족부만 있다는거 자체가 성차별인데?ㅋㅋㅋㅋㅋ제일 먼저 징역가야겠네,1,0,0,0,0,0,0,0,0,0,unsmile_train
젠신병자들 다 군대 끌고가서 육방패 제1호로 써야 함,0,0,1,0,0,0,0,1,0,0,unsmile_train
쟤 귀엽던데 다시 활동재개 안하노,0,0,0,0,0,0,0,0,0,1,unsmile_train
틀:틀무새 = 쓰레기:청소부,0,0,0,0,1,0,0,1,0,0,unsmile_train
전라도 틀딱 ㅅㅂ,0,0,0,0,1,1,0,0,0,0,unsmile_train
너 네가 더 부추기고 있다,0,0,0,0,0,0,0,0,0,1,unsmile_train
아까 본 거 또 보고,0,0,0,0,0,0,0,0,0,1,unsmile_train
모든 무슬림이 테러리스트는 아니다.그러나 모든 테러리스트는 무슬림이다.,0,0,0,1,0,0,1,0,0,0,unsmile_train
그곳은 '슨상'님이 주님아니었당가?나는 여지까지 그곳사람들은 '슨상'교 신자인줄 알았당께,0,0,0,0,0,1,0,0,0,0,unsmile_train
고추점자리,0,0,0,0,0,0,0,0,0,1,unsmile_train
없어져야 할 직업이군. 이 참에 전직 하시지,0,0,0,0,0,0,0,0,1,0,unsmile_train
냔 걍 대놓고 동성애 혐오하는데,0,0,1,0,0,0,0,0,0,0,unsmile_train
48조를 저라도에 퍼붓는 예산.낭비의 현장이 얼마나 비효율적인지 보여주는 사례다. 시발,0,0,0,0,0,1,0,0,0,0,unsmile_train
오징어 육지냐?,0,0,0,0,0,0,0,0,0,1,unsmile_train
일베=멍청도+감자국 새끼들,0,0,0,0,0,1,0,0,0,0,unsmile_train
지내나라 보지인권을 왜 우리가 관심갖여야 하냐 ㅎㅎ,1,0,0,0,0,0,0,0,0,0,unsmile_train
진짜 개좆같다,0,0,0,0,0,0,0,0,1,0,unsmile_train
이쁜애들도 거부감이 있을 수 있는데 못생기면 답이없지,0,0,0,0,0,0,0,0,1,0,unsmile_train
할일 없으면 다나와에서 컴퓨터 조립이나 해라. 니네 나라가 그 지경인데 다른나라 언급해서 뭐 할려구?,0,0,0,0,0,0,0,0,1,0,unsmile_train
홍어out,0,0,0,0,0,1,0,0,0,0,unsmile_train
하고 왔다 이기ㅋㅋㅋㅋㅋㅋ관잦새끼 홍보덕에 저새끼 썰리겠노 웜사모노?,0,1,0,0,0,0,0,0,0,0,unsmile_train
대자보....ㅋㅋㅋ,0,0,0,0,0,0,0,0,0,1,unsmile_train
못배운것들이 말빨로 돈버는 직업이 목사다,0,0,0,0,0,0,1,0,0,0,unsmile_train
